"","subid","subage","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput"
"32","180918_3","4","distribution_kids_simple",1,"Mouse","training","4","c(6, 0, 0)","mammals","clothes","vehicles","monkey","motorbike","hat","monkey","monkey","item_l","mammals",1,NA,NA,NA,NA,NA
"33","180918_3","4","distribution_kids_simple",1,"Mouse","training","5","c(6, 0, 0)","mammals","clothes","vehicles","jacket","bus","cat","cat","cat","item_r","mammals",1,NA,NA,NA,NA,NA
"34","180918_3","4","distribution_kids_simple",1,"Mouse","training","6","c(6, 0, 0)","mammals","clothes","vehicles","train","dress","elephant","elephant","elephant","item_r","mammals",1,NA,NA,NA,NA,NA
"35","180918_3","4","distribution_kids_simple",1,"Mouse","test","choice","c(6, 0, 0)","mammals","clothes","vehicles","shoe","dog","truck",NA,"dog","item_m","mammals",NA,1,0,0,"mammals",1
"36","180918_3","4","distribution_kids_simple",2,"Tiger","training","1","c(6, 0, 0)","clothes","vehicles","fruits","pineapple","sock","car","sock","sock","item_m","clothes",1,NA,NA,NA,NA,NA
"37","180918_3","4","distribution_kids_simple",2,"Tiger","training","2","c(6, 0, 0)","clothes","vehicles","fruits","banana","airplane","jacket","jacket","jacket","item_r","clothes",1,NA,NA,NA,NA,NA
"38","180918_3","4","distribution_kids_simple",2,"Tiger","training","3","c(6, 0, 0)","clothes","vehicles","fruits","apple","shirt","bus","shirt","shirt","item_m","clothes",1,NA,NA,NA,NA,NA
"39","180918_3","4","distribution_kids_simple",2,"Tiger","training","4","c(6, 0, 0)","clothes","vehicles","fruits","dress","orange","truck","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA
"40","180918_3","4","distribution_kids_simple",2,"Tiger","training","5","c(6, 0, 0)","clothes","vehicles","fruits","strawberry","hat","boat","hat","hat","item_m","clothes",1,NA,NA,NA,NA,NA
"41","180918_3","4","distribution_kids_simple",2,"Tiger","training","6","c(6, 0, 0)","clothes","vehicles","fruits","cherry","motorbike","skirt","skirt","skirt","item_r","clothes",1,NA,NA,NA,NA,NA
"42","180918_3","4","distribution_kids_simple",2,"Tiger","test","choice","c(6, 0, 0)","clothes","vehicles","fruits","shoe","train","melon",NA,"shoe","item_l","clothes",NA,1,0,0,"clothes",1
