id,age_group,age_num,sex,experiment,trial,condition,speaker,target_category,picked_category,correct
part_16_speaker_change,3,3.558675799086758,F,speaker_change,2,different_speaker,Frog,mammals,mammals,1
part_16_speaker_change,3,3.558675799086758,F,speaker_change,3,same_speaker,Mouse,fruits,fruits,1
part_16_speaker_change,3,3.558675799086758,F,speaker_change,4,different_speaker,Cat,vehicles,mammals,0
part_17_speaker_change,3,3.391552511415525,F,speaker_change,1,different_speaker,Bear,fruits,clothes,0
part_17_speaker_change,3,3.391552511415525,F,speaker_change,2,different_speaker,Mouse,vehicles,vehicles,1
part_17_speaker_change,3,3.391552511415525,F,speaker_change,3,same_speaker,Frog,clothes,fruits,0
part_17_speaker_change,3,3.391552511415525,F,speaker_change,4,same_speaker,Tiger,mammals,fruits,0
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,1,same_speaker,Sheep,vehicles,vehicles,1
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,2,different_speaker,Elephant,clothes,fruits,0
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,3,different_speaker,Frog,fruits,vehicles,0
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,4,same_speaker,Tiger,mammals,mammals,1
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,1,different_speaker,Sheep,clothes,clothes,1
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,2,different_speaker,Elephant,vehicles,vehicles,1
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,3,same_speaker,Bear,mammals,clothes,0
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,4,same_speaker,Frog,fruits,fruits,1
part_20_speaker_change,3,3.4792237442922374,F,speaker_change,1,different_speaker,Tiger,clothes,vehicles,0
part_20_speaker_change,3,3.4792237442922374,F,speaker_change,2,different_speaker,Elephant,fruits,vehicles,0
part_20_speaker_change,3,3.4792237442922374,F,speaker_change,3,same_speaker,Cat,vehicles,mammals,0
part_20_speaker_change,3,3.4792237442922374,F,speaker_change,4,same_speaker,Frog,mammals,mammals,1
part_21_speaker_change,3,3.188812785388128,F,speaker_change,1,same_speaker,Bear,mammals,mammals,1
part_21_speaker_change,3,3.188812785388128,F,speaker_change,2,different_speaker,Frog,vehicles,vehicles,1
part_21_speaker_change,3,3.188812785388128,F,speaker_change,3,same_speaker,Elephant,fruits,mammals,0
part_21_speaker_change,3,3.188812785388128,F,speaker_change,4,different_speaker,Cat,clothes,clothes,1
part_22_speaker_change,4,4.1751141552511415,M,speaker_change,1,same_speaker,Cat,clothes,clothes,1
part_22_speaker_change,4,4.1751141552511415,M,speaker_change,2,different_speaker,Elephant,fruits,mammals,0
part_22_speaker_change,4,4.1751141552511415,M,speaker_change,3,different_speaker,Mouse,vehicles,mammals,0
part_22_speaker_change,4,4.1751141552511415,M,speaker_change,4,same_speaker,Frog,mammals,clothes,0
part_23_speaker_change,3,3.169634703196347,F,speaker_change,1,same_speaker,Cat,fruits,fruits,1
part_23_speaker_change,3,3.169634703196347,F,speaker_change,2,different_speaker,Bear,mammals,vehicles,0
part_23_speaker_change,3,3.169634703196347,F,speaker_change,3,different_speaker,Mouse,vehicles,fruits,0
part_23_speaker_change,3,3.169634703196347,F,speaker_change,4,same_speaker,Frog,clothes,mammals,0
part_24_speaker_change,4,4.4162100456621,F,speaker_change,1,different_speaker,Mouse,clothes,vehicles,0
part_24_speaker_change,4,4.4162100456621,F,speaker_change,2,same_speaker,Tiger,vehicles,vehicles,1
part_24_speaker_change,4,4.4162100456621,F,speaker_change,3,different_speaker,Frog,fruits,fruits,1
part_24_speaker_change,4,4.4162100456621,F,speaker_change,4,same_speaker,Cat,mammals,mammals,1
part_25_speaker_change,3,3.391552511415525,M,speaker_change,1,same_speaker,Elephant,mammals,mammals,1
part_25_speaker_change,3,3.391552511415525,M,speaker_change,2,different_speaker,Frog,clothes,clothes,1
part_25_speaker_change,3,3.391552511415525,M,speaker_change,3,different_speaker,Mouse,fruits,vehicles,0
part_25_speaker_change,3,3.391552511415525,M,speaker_change,4,same_speaker,Sheep,vehicles,vehicles,1
part_18_speaker_change,3,3.295662100456621,F,speaker_change,1,different_speaker,Mouse,fruits,fruits,1
part_18_speaker_change,3,3.295662100456621,F,speaker_change,2,different_speaker,Cat,vehicles,mammals,0
part_18_speaker_change,3,3.295662100456621,F,speaker_change,3,same_speaker,Sheep,clothes,fruits,0
part_18_speaker_change,3,3.295662100456621,F,speaker_change,4,same_speaker,Frog,mammals,vehicles,0
part_19_speaker_change,3,3.0299086757990867,M,speaker_change,1,same_speaker,Sheep,fruits,vehicles,0
part_19_speaker_change,3,3.0299086757990867,M,speaker_change,2,different_speaker,Elephant,clothes,vehicles,0
part_19_speaker_change,3,3.0299086757990867,M,speaker_change,3,same_speaker,Mouse,vehicles,vehicles,1
part_19_speaker_change,3,3.0299086757990867,M,speaker_change,4,different_speaker,Cat,mammals,clothes,0
part_26_speaker_change,4,4.002511415525114,M,speaker_change,1,different_speaker,Tiger,fruits,fruits,1
part_26_speaker_change,4,4.002511415525114,M,speaker_change,2,same_speaker,Sheep,vehicles,mammals,0
part_26_speaker_change,4,4.002511415525114,M,speaker_change,3,different_speaker,Mouse,clothes,fruits,0
part_26_speaker_change,4,4.002511415525114,M,speaker_change,4,same_speaker,Bear,mammals,mammals,1
part_27_speaker_change,4,4.1093607305936075,M,speaker_change,1,same_speaker,Frog,fruits,vehicles,0
part_27_speaker_change,4,4.1093607305936075,M,speaker_change,2,different_speaker,Cat,mammals,mammals,1
part_27_speaker_change,4,4.1093607305936075,M,speaker_change,3,different_speaker,Tiger,vehicles,vehicles,1
part_27_speaker_change,4,4.1093607305936075,M,speaker_change,4,same_speaker,Mouse,clothes,fruits,0
part_28_speaker_change,3,3.2655251141552513,F,speaker_change,1,different_speaker,Mouse,fruits,fruits,1
part_28_speaker_change,3,3.2655251141552513,F,speaker_change,2,same_speaker,Frog,clothes,clothes,1
part_28_speaker_change,3,3.2655251141552513,F,speaker_change,3,different_speaker,Sheep,vehicles,vehicles,1
part_28_speaker_change,3,3.2655251141552513,F,speaker_change,4,same_speaker,Elephant,mammals,mammals,1
part_29_speaker_change,4,4.662785388127854,M,speaker_change,1,same_speaker,Bear,mammals,mammals,1
part_29_speaker_change,4,4.662785388127854,M,speaker_change,2,same_speaker,Elephant,clothes,clothes,1
part_29_speaker_change,4,4.662785388127854,M,speaker_change,3,different_speaker,Tiger,fruits,vehicles,0
part_29_speaker_change,4,4.662785388127854,M,speaker_change,4,different_speaker,Sheep,vehicles,vehicles,1
part_30_speaker_change,3,3.794292237442922,F,speaker_change,1,same_speaker,Cat,mammals,vehicles,0
part_30_speaker_change,3,3.794292237442922,F,speaker_change,2,different_speaker,Sheep,clothes,fruits,0
part_30_speaker_change,3,3.794292237442922,F,speaker_change,3,same_speaker,Elephant,vehicles,mammals,0
part_30_speaker_change,3,3.794292237442922,F,speaker_change,4,different_speaker,Frog,fruits,fruits,1
part_31_speaker_change,4,4.128538812785388,F,speaker_change,1,same_speaker,Mouse,mammals,mammals,1
