id,experiment,trial,speaker,target_category,correct
98c4ecd9685e7a0fe21f30645dc5e0e7,adult_simple_inference,6,Bunny,vehicles,0
3047b66d1e822d9e1a43282c78a75cdb,adult_simple_inference,1,Frog,mammals,0
3047b66d1e822d9e1a43282c78a75cdb,adult_simple_inference,2,Pig,instruments,1
3047b66d1e822d9e1a43282c78a75cdb,adult_simple_inference,3,Mouse,clothes,1
3047b66d1e822d9e1a43282c78a75cdb,adult_simple_inference,4,Bear,vehicles,0
3047b66d1e822d9e1a43282c78a75cdb,adult_simple_inference,5,Sheep,furniture,0
3047b66d1e822d9e1a43282c78a75cdb,adult_simple_inference,6,Tiger,fruits,1
67cebb9cc89be1c0cc2dba7b15097be1,adult_simple_inference,1,Frog,vehicles,1
67cebb9cc89be1c0cc2dba7b15097be1,adult_simple_inference,2,Tiger,fruits,0
67cebb9cc89be1c0cc2dba7b15097be1,adult_simple_inference,3,Monkey,clothes,1
67cebb9cc89be1c0cc2dba7b15097be1,adult_simple_inference,4,Bear,mammals,1
67cebb9cc89be1c0cc2dba7b15097be1,adult_simple_inference,5,Sheep,instruments,1
67cebb9cc89be1c0cc2dba7b15097be1,adult_simple_inference,6,Mouse,furniture,1
ef27d9c6479eba4562337627cabc5724,adult_simple_inference,1,Pig,vehicles,1
ef27d9c6479eba4562337627cabc5724,adult_simple_inference,2,Bear,clothes,1
ef27d9c6479eba4562337627cabc5724,adult_simple_inference,3,Dog,mammals,1
ef27d9c6479eba4562337627cabc5724,adult_simple_inference,4,Beaver,instruments,1
ef27d9c6479eba4562337627cabc5724,adult_simple_inference,5,Elephant,fruits,1
ef27d9c6479eba4562337627cabc5724,adult_simple_inference,6,Cat,furniture,1
8fccf4752d0f25bbe3279bafea555d92,adult_simple_inference,1,Cat,mammals,1
8fccf4752d0f25bbe3279bafea555d92,adult_simple_inference,2,Sheep,fruits,1
8fccf4752d0f25bbe3279bafea555d92,adult_simple_inference,3,Pig,furniture,1
8fccf4752d0f25bbe3279bafea555d92,adult_simple_inference,4,Frog,clothes,1
8fccf4752d0f25bbe3279bafea555d92,adult_simple_inference,5,Tiger,vehicles,1
8fccf4752d0f25bbe3279bafea555d92,adult_simple_inference,6,Elephant,instruments,1
f11a7f33f53a18a525b97b04fbc424da,adult_simple_inference,1,Sheep,mammals,0
f11a7f33f53a18a525b97b04fbc424da,adult_simple_inference,2,Pig,clothes,0
f11a7f33f53a18a525b97b04fbc424da,adult_simple_inference,3,Beaver,fruits,1
f11a7f33f53a18a525b97b04fbc424da,adult_simple_inference,4,Cat,furniture,0
f11a7f33f53a18a525b97b04fbc424da,adult_simple_inference,5,Bear,instruments,1
f11a7f33f53a18a525b97b04fbc424da,adult_simple_inference,6,Bunny,vehicles,0
2a47a8953eaac34ffae5024d0c63cd49,adult_simple_inference,1,Mouse,mammals,0
2a47a8953eaac34ffae5024d0c63cd49,adult_simple_inference,2,Sheep,clothes,0
2a47a8953eaac34ffae5024d0c63cd49,adult_simple_inference,3,Bunny,instruments,1
2a47a8953eaac34ffae5024d0c63cd49,adult_simple_inference,4,Bear,vehicles,0
2a47a8953eaac34ffae5024d0c63cd49,adult_simple_inference,5,Monkey,fruits,0
2a47a8953eaac34ffae5024d0c63cd49,adult_simple_inference,6,Beaver,furniture,0
